num_regions: 500
region0: [[1.65, -1.7, -0.75], [1.25, -1.7, -0.75], [1.25, -2.1, -0.75], [1.65, -2.1, -0.75]]
region1: [[1.25, -1.7, -0.75], [0.85, -1.7, -0.75], [0.85, -2.1, -0.75], [1.25, -2.1, -0.75]]
region2: [[0.85, -1.7, -0.75], [0.45, -1.7, -0.75], [0.45, -2.1, -0.75], [0.85, -2.1, -0.75]]
region3: [[0.45, -1.7, -0.75], [0.05, -1.7, -0.75], [0.05, -2.1, -0.75], [0.45, -2.1, -0.75]]
region4: [[0.05, -1.7, -0.75], [-0.35, -1.7, -0.75], [-0.35, -2.1, -0.75], [0.05, -2.1, -0.75]]
region5: [[-0.35, -1.7, -0.75], [-0.75, -1.7, -0.75], [-0.75, -2.1, -0.75], [-0.35, -2.1, -0.75]]
region6: [[-0.75, -1.7, -0.75], [-1.15, -1.7, -0.75], [-1.15, -2.1, -0.75], [-0.75, -2.1, -0.75]]
region7: [[-1.15, -1.7, -0.75], [-1.55, -1.7, -0.75], [-1.55, -2.1, -0.75], [-1.15, -2.1, -0.75]]
region8: [[-1.55, -1.7, -0.75], [-1.95, -1.7, -0.75], [-1.95, -2.1, -0.75], [-1.55, -2.1, -0.75]]
region9: [[-1.95, -1.7, -0.75], [-2.35, -1.7, -0.75], [-2.35, -2.1, -0.75], [-1.95, -2.1, -0.75]]
region10: [[-2.35, -1.7, -0.75], [-2.75, -1.7, -0.75], [-2.75, -2.1, -0.75], [-2.35, -2.1, -0.75]]
region11: [[-2.75, -1.7, -0.75], [-3.15, -1.7, -0.75], [-3.15, -2.1, -0.75], [-2.75, -2.1, -0.75]]
region12: [[-3.15, -1.7, -0.75], [-3.55, -1.7, -0.75], [-3.55, -2.1, -0.75], [-3.15, -2.1, -0.75]]
region13: [[-3.55, -1.7, -0.75], [-3.95, -1.7, -0.75], [-3.95, -2.1, -0.75], [-3.55, -2.1, -0.75]]
region14: [[-3.95, -1.7, -0.75], [-4.35, -1.7, -0.75], [-4.35, -2.1, -0.75], [-3.95, -2.1, -0.75]]
region15: [[-4.35, -1.7, -0.75], [-4.75, -1.7, -0.75], [-4.75, -2.1, -0.75], [-4.35, -2.1, -0.75]]
region16: [[-4.75, -1.7, -0.75], [-5.15, -1.7, -0.75], [-5.15, -2.1, -0.75], [-4.75, -2.1, -0.75]]
region17: [[-5.15, -1.7, -0.75], [-5.55, -1.7, -0.75], [-5.55, -2.1, -0.75], [-5.15, -2.1, -0.75]]
region18: [[-5.55, -1.7, -0.75], [-5.95, -1.7, -0.75], [-5.95, -2.1, -0.75], [-5.55, -2.1, -0.75]]
region19: [[-5.95, -1.7, -0.75], [-6.35, -1.7, -0.75], [-6.35, -2.1, -0.75], [-5.95, -2.1, -0.75]]
region20: [[1.65, -1.3, -0.75], [1.25, -1.3, -0.75], [1.25, -1.7, -0.75], [1.65, -1.7, -0.75]]
region21: [[1.25, -1.3, -0.75], [0.85, -1.3, -0.75], [0.85, -1.7, -0.75], [1.25, -1.7, -0.75]]
region22: [[0.85, -1.3, -0.75], [0.45, -1.3, -0.75], [0.45, -1.7, -0.75], [0.85, -1.7, -0.75]]
region23: [[0.45, -1.3, -0.75], [0.05, -1.3, -0.75], [0.05, -1.7, -0.75], [0.45, -1.7, -0.75]]
region24: [[0.05, -1.3, -0.75], [-0.35, -1.3, -0.75], [-0.35, -1.7, -0.75], [0.05, -1.7, -0.75]]
region25: [[-0.35, -1.3, -0.75], [-0.75, -1.3, -0.75], [-0.75, -1.7, -0.75], [-0.35, -1.7, -0.75]]
region26: [[-0.75, -1.3, -0.75], [-1.15, -1.3, -0.75], [-1.15, -1.7, -0.75], [-0.75, -1.7, -0.75]]
region27: [[-1.15, -1.3, -0.75], [-1.55, -1.3, -0.75], [-1.55, -1.7, -0.75], [-1.15, -1.7, -0.75]]
region28: [[-1.55, -1.3, -0.75], [-1.95, -1.3, -0.75], [-1.95, -1.7, -0.75], [-1.55, -1.7, -0.75]]
region29: [[-1.95, -1.3, -0.75], [-2.35, -1.3, -0.75], [-2.35, -1.7, -0.75], [-1.95, -1.7, -0.75]]
region30: [[-2.35, -1.3, -0.75], [-2.75, -1.3, -0.75], [-2.75, -1.7, -0.75], [-2.35, -1.7, -0.75]]
region31: [[-2.75, -1.3, -0.75], [-3.15, -1.3, -0.75], [-3.15, -1.7, -0.75], [-2.75, -1.7, -0.75]]
