Orientation: -180.0 degrees.
-3 -1 0
-3 0 -1
-3 0 0
-3 0 1
-3 1 0
-2 -1 -1
-2 -1 0
-2 -1 1
-2 0 -1
-2 0 0
-2 0 1
-2 1 -1
-2 1 0
-2 1 1
-1 -1 -1
-1 -1 0
-1 -1 1
-1 0 -1
-1 0 0
-1 0 1
-1 1 -1
-1 1 0
-1 1 1
0 -1 -1
0 -1 0
0 -1 1
0 0 -1
0 0 0
0 0 1
0 1 -1
0 1 0
0 1 1
1 -1 -1
1 -1 0
1 -1 1
1 0 -1
1 0 0
1 0 1
1 1 -1
1 1 0
1 1 1
2 -1 -1
2 -1 0
2 -1 1
2 0 -1
2 0 0
2 0 1
2 1 -1
2 1 0
2 1 1
Orientation: -157.5 degrees.
-3 -1 -1
-3 -1 0
-3 0 -1
-3 0 0
-2 -2 0
-2 -2 1
-2 -1 -1
-2 -1 0
-2 -1 1
-2 0 -1
-2 0 0
-2 0 1
-2 1 -1
-1 -2 0
-1 -2 1
-1 -1 -1
-1 -1 0
-1 -1 1
-1 0 -1
-1 0 0
-1 0 1
-1 1 -1
-1 1 0
-1 1 1
0 -2 1
0 -1 -1
0 -1 0
0 -1 1
0 0 -1
0 0 0
0 0 1
0 1 -1
0 1 0
0 1 1
1 -1 -1
1 -1 0
1 -1 1
1 0 -1
1 0 0
1 0 1
1 1 -1
1 1 0
1 1 1
1 2 1
2 -1 -1
2 0 -1
2 0 0
2 0 1
2 1 -1
2 1 0
2 1 1
Orientation: -135.0 degrees.
-2 -2 -1
-2 -2 0
-2 -2 1
-2 -1 -1
-2 -1 0
-2 -1 1
-2 0 -1
-2 0 0
-2 0 1
-1 -2 -1
-1 -2 0
-1 -2 1
-1 -1 -1
-1 -1 0
-1 -1 1
-1 0 -1
-1 0 0
-1 0 1
-1 1 -1
-1 1 0
-1 1 1
0 -2 -1
0 -2 0
0 -2 1
0 -1 -1
0 -1 0
0 -1 1
0 0 -1
0 0 0
0 0 1
0 1 -1
0 1 0
0 1 1
0 2 -1
0 2 0
0 2 1
1 -1 -1
1 -1 0
1 -1 1
1 0 -1
1 0 0
1 0 1
1 1 -1
1 1 0
1 1 1
1 2 -1
1 2 0
1 2 1
2 0 -1
2 0 0
2 0 1
2 1 -1
2 1 0
2 1 1
Orientation: -112.5 degrees.
-2 -2 -1
-2 -2 0
-2 -1 -1
-2 -1 0
-2 0 -1
-1 -3 0
-1 -3 1
-1 -2 -1
-1 -2 0
-1 -2 1
-1 -1 -1
-1 -1 0
-1 -1 1
-1 0 -1
-1 0 0
-1 0 1
-1 1 -1
-1 1 0
-1 1 1
-1 2 1
0 -3 0
0 -3 1
0 -2 -1
0 -2 0
0 -2 1
0 -1 -1
0 -1 0
0 -1 1
0 0 -1
0 0 0
0 0 1
0 1 -1
0 1 0
0 1 1
0 2 -1
0 2 0
0 2 1
1 -2 1
1 -1 -1
1 -1 0
1 -1 1
1 0 -1
1 0 0
1 0 1
1 1 -1
1 1 0
1 1 1
1 2 -1
1 2 0
1 2 1
2 0 -1
2 1 -1
Orientation: -90.0 degrees.
-1 -3 0
-1 -2 -1
-1 -2 0
-1 -2 1
-1 -1 -1
-1 -1 0
-1 -1 1
-1 0 -1
-1 0 0
-1 0 1
-1 1 -1
-1 1 0
-1 1 1
-1 2 -1
-1 2 0
-1 2 1
0 -3 -1
0 -3 0
0 -3 1
0 -2 -1
0 -2 0
0 -2 1
0 -1 -1
0 -1 0
0 -1 1
0 0 -1
0 0 0
0 0 1
0 1 -1
0 1 0
0 1 1
0 2 -1
0 2 0
0 2 1
1 -3 0
1 -2 -1
1 -2 0
1 -2 1
1 -1 -1
1 -1 0
1 -1 1
1 0 -1
1 0 0
1 0 1
1 1 -1
1 1 0
1 1 1
1 2 -1
1 2 0
1 2 1
Orientation: -67.5 degrees.
-2 0 1
-2 1 1
-1 -2 -1
-1 -1 -1
-1 -1 0
-1 -1 1
-1 0 -1
-1 0 0
-1 0 1
-1 1 -1
-1 1 0
-1 1 1
-1 2 -1
-1 2 0
-1 2 1
0 -3 -1
0 -3 0
0 -2 -1
0 -2 0
0 -2 1
0 -1 -1
0 -1 0
0 -1 1
0 0 -1
0 0 0
0 0 1
0 1 -1
0 1 0
0 1 1
0 2 -1
0 2 0
0 2 1
1 -3 -1
1 -3 0
1 -2 -1
1 -2 0
1 -2 1
1 -1 -1
1 -1 0
1 -1 1
1 0 -1
1 0 0
1 0 1
1 1 -1
1 1 0
1 1 1
1 2 -1
2 -2 0
2 -2 1
2 -1 0
2 -1 1
2 0 1
Orientation: -45.0 degrees.
-2 0 -1
-2 0 0
-2 0 1
-2 1 -1
-2 1 0
-2 1 1
-1 -1 -1
-1 -1 0
-1 -1 1
-1 0 -1
-1 0 0
-1 0 1
-1 1 -1
-1 1 0
-1 1 1
-1 2 -1
-1 2 0
-1 2 1
0 -2 -1
0 -2 0
0 -2 1
0 -1 -1
0 -1 0
0 -1 1
0 0 -1
0 0 0
0 0 1
0 1 -1
0 1 0
0 1 1
0 2 -1
0 2 0
0 2 1
1 -2 -1
1 -2 0
1 -2 1
1 -1 -1
1 -1 0
1 -1 1
1 0 -1
1 0 0
1 0 1
1 1 -1
1 1 0
1 1 1
2 -2 -1
2 -2 0
2 -2 1
2 -1 -1
2 -1 0
2 -1 1
2 0 -1
2 0 0
2 0 1
Orientation: -22.5 degrees.
-2 -1 1
-2 0 -1
-2 0 0
-2 0 1
-2 1 -1
-2 1 0
-2 1 1
-1 -1 -1
-1 -1 0
-1 -1 1
-1 0 -1
-1 0 0
-1 0 1
-1 1 -1
-1 1 0
-1 1 1
-1 2 -1
0 -2 -1
0 -1 -1
0 -1 0
0 -1 1
0 0 -1
0 0 0
0 0 1
0 1 -1
0 1 0
0 1 1
0 2 -1
1 -2 -1
1 -2 0
1 -1 -1
1 -1 0
1 -1 1
1 0 -1
1 0 0
1 0 1
1 1 -1
1 1 0
1 1 1
2 -2 -1
2 -2 0
2 -1 -1
2 -1 0
2 -1 1
2 0 -1
2 0 0
2 0 1
2 1 1
3 -1 0
3 -1 1
3 0 0
3 0 1
Orientation: 0.0 degrees.
-2 -1 -1
-2 -1 0
-2 -1 1
-2 0 -1
-2 0 0
-2 0 1
-2 1 -1
-2 1 0
-2 1 1
-1 -1 -1
-1 -1 0
-1 -1 1
-1 0 -1
-1 0 0
-1 0 1
-1 1 -1
-1 1 0
-1 1 1
0 -1 -1
0 -1 0
0 -1 1
0 0 -1
0 0 0
0 0 1
0 1 -1
0 1 0
0 1 1
1 -1 -1
1 -1 0
1 -1 1
1 0 -1
1 0 0
1 0 1
1 1 -1
1 1 0
1 1 1
2 -1 -1
2 -1 0
2 -1 1
2 0 -1
2 0 0
2 0 1
2 1 -1
